"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"MY Total","1990/91","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybeans","Value","Total Soybean Value Dollars","6.39172","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.3743","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.6257","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5.9","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1990/91","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.49172","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.41583","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean oil","Price","Soybean Oil Price Cents","19.31","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.2044","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.50717","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean meal","Price","Soybean Meal Price Dollars","177.7","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean meal","Value","Soybean Meal Value Dollars","4.22101","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybeans","Value","Total Soybean Value Dollars","6.42541","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.34308","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.65692","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5.84","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1991/92","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.58541","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","10.845","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean oil","Price","Soybean Oil Price Cents","21.01","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.27853","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.53842","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean meal","Price","Soybean Meal Price Dollars","180.8","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean meal","Value","Soybean Meal Value Dollars","4.29747","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybeans","Value","Total Soybean Value Dollars","6.57601","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.34649","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.65351","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5.95","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1992/93","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.62601","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","10.86586","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean oil","Price","Soybean Oil Price Cents","26.74","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.90553","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.61533","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean meal","Price","Soybean Meal Price Dollars","182.65","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean meal","Value","Soybean Meal Value Dollars","4.34847","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybeans","Value","Total Soybean Value Dollars","7.254","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.40054","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.59946","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","6.59","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1993/94","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.664","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.08234","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean oil","Price","Soybean Oil Price Cents","27.5","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean oil","Value","Soybean Oil Value Dollars","3.04764","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.3267","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean meal","Price","Soybean Meal Price Dollars","151.77","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.59139","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybeans","Value","Total Soybean Value Dollars","6.63903","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.45905","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.54095","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5.73","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1994/95","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.90903","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.15395","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean oil","Price","Soybean Oil Price Cents","24.9","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.77733","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.69299","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean meal","Price","Soybean Meal Price Dollars","217.27","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean meal","Value","Soybean Meal Value Dollars","5.18113","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybeans","Value","Total Soybean Value Dollars","7.95846","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.34898","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.65102","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","7.39","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1995/96","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.56846","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","10.90864","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean oil","Price","Soybean Oil Price Cents","22.6","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.46535","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.36409","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean meal","Price","Soybean Meal Price Dollars","260.38","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean meal","Value","Soybean Meal Value Dollars","6.16633","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybeans","Value","Total Soybean Value Dollars","8.63168","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.28562","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.71438","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","7.8","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1996/97","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.83168","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.24829","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean oil","Price","Soybean Oil Price Cents","25.65","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.88519","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.41038","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean meal","Price","Soybean Meal Price Dollars","186.55","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean meal","Value","Soybean Meal Value Dollars","4.4222","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybeans","Value","Total Soybean Value Dollars","7.30739","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.39483","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.60517","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","6.64","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1997/98","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.66739","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.29711","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean oil","Price","Soybean Oil Price Cents","20.49","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean oil","Value","Soybean Oil Value Dollars","2.31478","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.25089","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean meal","Price","Soybean Meal Price Dollars","130.56","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.08454","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybeans","Value","Total Soybean Value Dollars","5.39932","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.42872","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.57128","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","5","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1998/99","September-August","Soybeans","Price spread","Price Spread Between Value of Products and Soybean Price Dollars","0.39932","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean oil","Yield","Soybean Oil Yield Pounds","11.34024","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean oil","Price","Soybean Oil Price Cents","15.81","Cents","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean oil","Value","Soybean Oil Value Dollars","1.79289","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean meal","Yield","Soybean Meal Yield Pounds","47.76376","Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean meal","Price","Soybean Meal Price Dollars","158.04","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean meal","Value","Soybean Meal Value Dollars","3.77429","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean hulls","Yield","Soybean Hulls Yield Pounds",NA,"Pounds","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean hulls","Price","Soybean Hulls Price Dollars Per Short Ton",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean hulls","Value","Soybean Hulls Value Dollars",NA,"Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybeans","Value","Total Soybean Value Dollars","5.56718","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean oil","Value","Percent of Value Soybean Oil Percent","0.67795","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybean meal","Value","Percent of Value Soybean Meal and Hulls Percent","0.32205","Percent","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
"MY Total","1999/00","September-August","Soybeans","Price","No. 1 Yellow Illinois Processor Dollars","4.9025","Dollars","9","Table 9—Soybeans: U.S. monthly value of products per bushel of soybeans processed and spot price spread, 1990/91–2023/24"
